Stage,Name,Supplier Type,Currencies,GST Status,Due Days,When,Date Option,Exact Day,About Us,Status,Address 1,Address 2,Address 3,City,Zip Code,State/Province/Region,Country,Email,Office Phone 1,Office Phone 2,Website URL,Notes,Gender,Date of Birth ,Weight ,Medical Information,Age ,Height,Dietary Requirements,Full Address,Contact Phone ,Passport Information,Guide Notes,Contact Email ,Emergency Contacts,Insurance Detail ,Is Upgrade,Unit Number,Show Internal Rate Name ,Duration ,Include Package Name,Tour Extras,Include Sub Tours,Meeting Points,Insurance Policy
Stage4,Clovely Estate,Restaurant,AUD,GST is Additional,,,,,,Active,91 Steinhardts Rd,,,Moffatdale ,4605,QLD,Australia,david@clovely.com.au,+61 405 298 285,,https://www.clovely.com.au/,Book for 1pm. Selection of platters and pizzas and a flight of 6 wine tastings,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Colonial Lodge Motel,Accommodation,New Zealand Dollar,GST is Additional,,,,,,Active,164 Gloucester Street,,,Taradale,4112,Hawkes Bay,New Zealand,stay@colonialmotel.co.nz,+64 6 844 7788,,https://colonialmotel.co.nz/,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Stage4,Cycle Nelson,Miscellaneous,New Zealand Dollar,GST is Additional,,,,,,Active,Tahuna Holiday Park,70 Beach Road,,Tāhunanui,7010,Nelson,New Zealand,info@nelsoncyclehire.co.nz,+64 800 932 453,,https://www.gentlecycling.co.nz/,"Rebranding. New contacts: Bernie & Chris / Advise heights, e-bikes/hybrid, Book luggage transfers",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stage4,Delatite Winery,Restaurant,AUD,GST is Additional,,,,,,Active,390 Pollards Road,,,Mansfield,3722,Victoria,Australia,events@delatitewinery.com.au,+6103 5775 2922,,Delatite Winery | Mansfield - Delatite Wines,Contact: Mo. Shared platters at $75pp. Drinks/extras at own expense.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Devils Corner,Restaurant,AUD,GST is Additional,,,,,,Active,1 Sherbourne Rd,,,Apslawn,7190,TAS,Australia,info@devilscorner.com.au,+61 448 521 412,,https://www.devilscorner.com.au/,Contact: Sandra / Book Online. Guided Tasting $25pp (no driver) / Guests pay own Lunch. CANCEL WITHIN 24 HOURS!,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,East Coast Providore,Restaurant,AUD,GST is Additional,,,,,,Active,55/59 Cecilia St,,,St Helens,7216,TAS,Australia,,+61 3 6376 8922,,,"Contact: Theresa & Anthony / Picnic Lunch packs (Wrap, Salad, Muffin, Juice / $29 pp",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Elephant Hill Winery,Restaurant,New Zealand Dollar,GST is Additional,,,,,,Active,86 Clifton Road,,,Te Awanga,4180,Hawkes Bay,New Zealand,cellardoor@elephanthill.co.nz,+64 6 872 6060,,https://elephanthill.co.nz/,Closed: Mon-Thu 2 PM $20pp tasting ,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Elm Dining,Restaurant,AUD,GST is Additional,,,,,,Active,98 Gavan Street,,,Bright,3741,Victoria,Australia,reservations@elmdining.com.au,+6103 4705 8000,,Home - Elm Dining & The Yard Bright,"Two-course for $80pp. 6:30PM (closed in winter may - oct)
",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Experiential Tasmania,Activities and Excursions,AUD,GST is Additional,,,,,,Active,,,,Launceston,7250,TAS,Australia,sara@experientialtasmania.com.au,+61 401 028 906,,experientialtasmania.com.au,"contact: Sara / Half day guided. 7 DAY XXL, advise diets. ",Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Stage4,Ferment Asian,Restaurant,AUD,GST is Additional,,,,,,Active,90 Murray St,,,Tanunda ,5352,SA,Australia,bookings@fermentasian.com.au,61 8 8563 0765,,https://fermentasian.com.au/,Book for 6:30pm. Chef's Menu $89 pp,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Ford St Enoteca,Restaurant,AUD,GST is Additional,,,,,,Active,52 Ford Street,,,Beechworth,3747,Victoria,Australia,hello@fordstreetenoteca.com.au,+6103 5728 2123,,The Ox and Hound Bistro Beechworth,"6.30PM. Closed SUN/MON Pre-purchase $65pp voucher online. Send to Ford St Enoteca before tour.
",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,French Cycling Holidays,Tour Operator,UK,GST is Additional,,,,,,Active,73 High Road,, Leavesden,Watford,WD25 7AL,,United Kingdom,fch@frenchcyclingholidays.com,+44 1923 894305,,www.frenchcyclingholidays.com,France tours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
