,Name,Supplier Type,Currencies,GST Status,Due Days,When,Date Option,Exact Day,About Us,Status,Address 1,Address 2,Address 3,City,Zip Code,State/Province/Region,Country,Email,Office Phone 1,Office Phone 2,Website URL,Notes,Gender,Date of Birth,Weight,Medical Information,Age,Height,Dietary Requirements,Full Address,Contact Phone,Passport Information,Guide Notes,Contact Email,Emergency Contacts,Insurance Detail,Is Upgrade,Unit Number,Show Internal Rate Name,Duration,Include Package Name,Tour Extras,Include Sub Tours,Meeting Points,Insurance Policy
Stage 5,Georges on Waymouth Restaurant,Restaurant,AUD,GST is Additional,,,,,,Active,20 Waymouth St,,,Adelaide,5000,SA,Australia,info@georgesonwaymouth.com.au,+61 8 8211 6960,,https://georgesonwaymouth.com.au/,6:30pm - 2-course meal $88 pp,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage 5,Giant Wollongong Bike Hire,Miscellaneous,AUD,GST is Additional,,,,,,Active,Unit 3,9-15 Ellen Street,,Wollongong ,2500,NSW,Australia,bookings@giantwollongong.com.au,+61 477 051 274,,https://wollongongebikehire.com.au/,"2.5 day bike hire, $230 per bike. E-Bikes only. For groups of 3+ will need to request bike delivery to Thirroul and pick-up from Kiama. Most bikes do not have racks, panniers no supplied.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stage 5,Grand Hotel Esk,Restaurant,AUD,GST is Additional,,,,,,Active,121 Ipswich St,,,Esk,4312,QLD,Australia,info@grandhotelesk.com,+61 7 5424 1141,,https://www.grandhotelesk.com/,Book dinner for 6:30pm - One Main meal per guest. Will invoice post-visit.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage 5,Grant St Grocer,Restaurant,AUD,GST is Additional,,,,,,Active,100 Grant Street,,,Alexandra,3714,Victoria,Australia,admin@grantstgrocer.com.au,+6103 5772 1526,,"Grant St Grocer | Cafe & Local Produce Store, Alexandra, Victoria","Contact: Lisa - $25pp - breakfast item / coffee - pay via CC. 
",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage 5,Grape Escape,Restaurant,New Zealand Dollar,GST is Additional,,,,,,Active,143 McShane Road,,,Appleby,7022,Richmond,New Zealand,info@thegrapeescapecafe.co.nz,+64 3 544 4341,,https://www.thegrapeescapecafe.co.nz/,contact: Nicki / $32.50pp - 1 menu item & drink. Will send an invoice after visit & then call to make payment via CC,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage 5,Great Southern Ride,Transport and Logistics,AUD,GST is Additional,,,,,,Active,91 Whitelaw Street,,,Meeniyan,3956,Victoria,Australia,ride@greatsouthernride.com.au,+61 0468 477 043,,Great Southern Ride E-Bike Sales & Bike Hire Meeniyan.,"Contact Paul & Amanda -  eBikes Only. 8:30 transfer from shop - Transfers and ebike rental

",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stage 5,Guerney's Cidery,Restaurant,AUD,GST is Additional,,,,,,Active,343 Fish Creek-Foster Road,,,Foster,3960,Victoria,Australia,hello@gurneyscider.com.au,+6103 5642 9019,,Home,"Walk-in on day. Tentative booking made. Guide to pay. Pizza and platters to share plus cider tasting
",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage 5,Hadleys Orient Hotel,Accommodation,AUD,GST is Additional,,,,,,Active,34 Murray Street,,,Hobart ,7000,TAS,Australia,groups@hadleyshotel.com.au,+61 3 6237 2999,,https://www.hadleyshotel.com.au/,contact: Rachel / king rooms,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Stage 5,Haus Restaurant,Restaurant,AUD,GST is Additional,,,,,,Active,38A Main St,,,Hahndorf,5245,SA,Australia,functions@thehausgroup.com.au,+61 8 0398 8994,,https://haushahndorf.com.au/,TDV Menu. $26.50 per person,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage 5,Haus Studios,Accommodation,AUD,GST is Additional,,,,,,Active,34 Main St,,,Hahndorf,5245,SA,Australia,bookings@hausstudios.com.au,+61 8 8388 7555,,https://haushahndorf.com.au/accommodation/,Studios - Group rates 2025 $219 p/n / 2026 - $229 p/n,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
